company_name,domain,keyword,company_url
Konica Minolta Malaysia + Malaysia + ASEAN,www.konicaminolta.com.my,android,http://konicaminolta.com.my/home/konica-minolta-delivers-wireless-printing-free-app-for-android-and-iosmobile-devices-to-connect-with-bizhub-mfps/
Konica Minolta Malaysia + Malaysia + ASEAN,www.konicaminolta.com.my,ios,http://konicaminolta.com.my/home/konica-minolta-delivers-wireless-printing-free-app-for-android-and-iosmobile-devices-to-connect-with-bizhub-mfps/
Konica Minolta Malaysia + Malaysia + ASEAN,www.konicaminolta.com.my,windows,http://konicaminolta.com.my/home/termination-of-windows-os-support/
PT. Kirana Megatara Tbk + Indonesia + ASEAN,www.kiranamegatara.com,windows,https://www.kiranamegatara.com/post/PT-Nusira-Encourages-the-Mosque-Cleaning-Movement-Spreading-Benefits-and-Blessings-in-Langkat?returnUrl=%2Farticles-news
PT. Kirana Megatara Tbk + Indonesia + ASEAN,www.kiranamegatara.com,linux,https://www.kiranamegatara.com/storage/file/AR_KMTR_2019_-_2_of_21.pdf
PT. Kirana Megatara Tbk + Indonesia + ASEAN,www.kiranamegatara.com,ios,https://www.kiranamegatara.com/storage/file/AR_KMTR_2019_-_2_of_21.pdf
PT Lintasarta + Indonesia + ASEAN,www.lintasarta.net,android,https://www.lintasarta.net/en/csr/lintasarta-gives-3200-coding-scholarships-for-smk-students-and-graduates/
LRN Corporation + India + India,www.lrn.com,android,https://lrn.com/blog/latest-news/e-learning-development-choosing-the-right-technology
LRN Corporation + India + India,www.lrn.com,ios,https://lrn.com/blog/latest-news/e-learning-development-choosing-the-right-technology
PT Lintasarta + Indonesia + ASEAN,www.lintasarta.net,ios,https://www.lintasarta.net/berita/lintasarta-luncurkan-kazee-platform-media-analytics/
PT Lintasarta + Indonesia + ASEAN,www.lintasarta.net,windows,https://www.lintasarta.net/blog/solution/data-communications-internet/layanan-cloud-storage-gratis-yang-mendukung-bisnis-anda/
LRN Corporation + India + India,www.lrn.com,windows,https://pages.lrn.com/hubfs/Code%20Reinvention%20One%20Pager.pdf
Macquarie Telecom Group + Australia + ANZ,www.macquarietelecom.com,linux,https://www.macquarietelecom.com/resources/partner-program/
